PURCHASEORDERID;ORDERDATE;PURCHASEORDERDETAILID;ORDERQTY;PRODUCTID
82;09/02/2012;186;550;530
84;09/02/2012;188;550;512
85;09/02/2012;189;550;513
86;09/02/2012;190;550;317
86;09/02/2012;191;550;318
86;09/02/2012;192;550;319
91;23/02/2012;210;550;941
96;27/02/2012;216;550;523
96;27/02/2012;217;550;524
98;08/03/2012;223;550;913
98;08/03/2012;224;550;914
98;08/03/2012;225;550;915
98;08/03/2012;226;550;916
100;08/03/2012;228;550;351
100;08/03/2012;229;550;352
100;08/03/2012;230;550;679
101;08/03/2012;231;550;507
101;08/03/2012;232;550;508
102;08/03/2012;233;550;355
102;08/03/2012;234;550;940
103;08/03/2012;235;550;679
104;08/03/2012;236;550;507
104;08/03/2012;237;550;508
107;08/03/2012;242;550;935
107;08/03/2012;243;550;936
109;08/03/2012;249;550;479
109;08/03/2012;250;550;480
109;08/03/2012;251;550;481
109;08/03/2012;252;550;482
109;08/03/2012;253;550;483
111;08/03/2012;255;550;512
113;09/03/2012;258;550;525
114;09/03/2012;259;550;526
115;09/03/2012;260;550;908
115;09/03/2012;261;550;909
115;09/03/2012;262;550;913
117;09/03/2012;265;550;935
117;09/03/2012;266;550;936
118;09/03/2012;267;550;524
119;09/03/2012;268;550;911
119;09/03/2012;269;550;912
120;09/03/2012;270;550;910
121;09/03/2012;271;550;937
124;09/03/2012;275;550;510
124;09/03/2012;276;550;511
125;09/03/2012;277;550;527
126;09/03/2012;278;550;938
126;09/03/2012;279;550;939
126;09/03/2012;280;550;509
128;09/03/2012;286;550;523
133;28/03/2012;296;550;938
133;28/03/2012;297;550;939
139;11/04/2012;334;550;513
141;11/04/2012;338;550;933
141;11/04/2012;339;550;934
144;11/04/2012;345;550;931
144;11/04/2012;346;550;932
146;11/04/2012;352;550;928
146;11/04/2012;353;550;929
146;11/04/2012;354;550;930
147;11/04/2012;355;550;332
148;11/04/2012;356;550;948
148;11/04/2012;357;550;907
149;11/04/2012;358;1250;325
149;11/04/2012;359;1250;326
151;11/04/2012;363;550;930
151;11/04/2012;364;550;921
153;02/05/2012;366;550;922
153;02/05/2012;367;550;923
154;02/05/2012;368;550;317
154;02/05/2012;369;550;318
155;02/05/2012;370;550;928
155;02/05/2012;371;550;929
156;02/05/2012;372;550;319
161;30/05/2012;384;550;530
163;30/05/2012;386;550;512
164;30/05/2012;387;550;513
165;30/05/2012;388;550;317
165;30/05/2012;389;550;318
165;30/05/2012;390;550;319
170;30/05/2012;409;550;941
175;11/06/2012;414;550;523
175;11/06/2012;415;550;524
177;22/06/2012;420;550;908
177;22/06/2012;421;550;909
177;22/06/2012;422;550;910
177;22/06/2012;423;550;911
177;22/06/2012;424;550;912
177;22/06/2012;425;550;913
179;22/06/2012;427;550;351
179;22/06/2012;428;550;352
179;22/06/2012;429;550;679
180;22/06/2012;430;550;507
180;22/06/2012;431;550;508
181;22/06/2012;432;550;535
182;22/06/2012;433;550;351
182;22/06/2012;434;550;352
183;22/06/2012;435;550;507
183;22/06/2012;436;550;508
186;22/06/2012;447;550;935
186;22/06/2012;448;550;936
188;22/06/2012;455;550;484
188;22/06/2012;456;550;485
188;22/06/2012;457;550;486
188;22/06/2012;458;550;487
188;22/06/2012;459;550;488
190;22/06/2012;461;550;510
190;22/06/2012;462;550;511
190;22/06/2012;463;550;512
191;22/06/2012;466;550;914
191;22/06/2012;467;550;915
192;22/06/2012;468;550;525
193;25/06/2012;469;550;526
194;25/06/2012;470;550;908
194;25/06/2012;471;550;909
196;25/06/2012;474;550;935
196;25/06/2012;475;550;936
197;25/06/2012;476;550;524
198;25/06/2012;477;550;911
198;25/06/2012;478;550;912
199;25/06/2012;479;550;910
200;25/06/2012;480;550;937
203;27/07/2012;486;550;510
203;27/07/2012;487;550;511
204;27/07/2012;488;550;527
205;27/07/2012;489;550;938
205;27/07/2012;490;550;939
205;27/07/2012;491;550;509
207;27/07/2012;496;550;523
212;31/07/2012;506;550;938
212;31/07/2012;507;550;939
218;15/08/2012;518;550;513
220;15/08/2012;524;550;931
220;15/08/2012;525;550;932
220;15/08/2012;526;550;933
223;16/08/2012;533;550;931
223;16/08/2012;534;550;932
225;24/08/2012;537;550;928
225;24/08/2012;538;550;929
225;24/08/2012;539;550;930
226;24/08/2012;540;550;332
227;24/08/2012;541;550;948
227;24/08/2012;542;550;907
228;24/08/2012;543;1250;325
228;24/08/2012;544;1250;326
230;24/08/2012;548;550;930
230;24/08/2012;549;550;921
232;24/08/2012;551;550;933
232;24/08/2012;552;550;934
233;28/08/2012;553;550;319
234;28/08/2012;554;550;928
234;28/08/2012;555;550;929
235;28/08/2012;556;550;319
240;05/09/2012;568;550;530
242;21/09/2012;570;550;512
243;21/09/2012;571;550;513
244;21/09/2012;572;550;317
244;21/09/2012;573;550;318
249;21/09/2012;590;550;941
254;21/09/2012;597;550;523
254;21/09/2012;598;550;524
256;21/09/2012;600;550;914
256;21/09/2012;601;550;915
256;21/09/2012;602;550;916
258;02/10/2012;604;550;351
258;02/10/2012;605;550;352
258;02/10/2012;606;550;679
259;02/10/2012;607;550;507
259;02/10/2012;608;550;508
260;02/10/2012;609;550;355
260;02/10/2012;610;550;940
260;02/10/2012;611;550;535
261;11/10/2012;612;550;679
262;11/10/2012;613;550;507
262;11/10/2012;614;550;508
265;17/10/2012;618;550;935
265;17/10/2012;619;550;936
267;17/10/2012;624;550;489
269;17/10/2012;626;550;510
269;17/10/2012;627;550;511
269;17/10/2012;628;550;512
270;17/10/2012;629;550;916
271;17/10/2012;630;550;525
272;17/10/2012;631;550;526
273;17/10/2012;632;550;913
275;17/10/2012;635;550;935
275;17/10/2012;636;550;936
276;17/10/2012;637;550;524
277;17/10/2012;638;550;911
277;17/10/2012;639;550;912
278;17/10/2012;640;550;910
279;17/10/2012;641;550;937
282;08/02/2013;646;550;510
282;08/02/2013;647;550;511
283;08/02/2013;648;550;527
284;08/02/2013;649;550;938
284;08/02/2013;650;550;939
286;08/02/2013;652;550;523
291;13/02/2013;660;550;938
291;13/02/2013;661;550;939
297;05/04/2013;677;550;513
299;05/04/2013;683;550;934
302;12/04/2013;689;550;931
302;12/04/2013;690;550;932
304;12/04/2013;694;550;928
304;12/04/2013;695;550;929
305;24/04/2013;696;550;332
306;24/04/2013;697;550;948
306;24/04/2013;698;550;907
307;24/04/2013;699;1250;325
307;24/04/2013;700;1250;326
309;24/04/2013;704;550;930
309;24/04/2013;705;550;921
311;24/04/2013;707;550;922
311;24/04/2013;708;550;923
312;24/04/2013;709;550;317
312;24/04/2013;710;550;318
313;24/04/2013;711;550;928
313;24/04/2013;712;550;929
314;24/04/2013;713;550;319
319;24/04/2013;719;550;530
321;25/04/2013;721;550;512
322;25/04/2013;722;550;513
323;25/04/2013;723;550;319
328;25/04/2013;747;550;941
333;25/04/2013;754;550;523
333;25/04/2013;755;550;524
335;25/04/2013;758;550;908
335;25/04/2013;759;550;909
335;25/04/2013;760;550;910
335;25/04/2013;761;550;911
335;25/04/2013;762;550;912
335;25/04/2013;763;550;913
335;25/04/2013;764;550;914
335;25/04/2013;765;550;915
335;25/04/2013;766;550;916
337;09/05/2013;768;550;351
337;09/05/2013;769;550;352
337;09/05/2013;770;550;679
338;09/05/2013;771;550;507
338;09/05/2013;772;550;508
339;09/05/2013;773;550;355
339;09/05/2013;774;550;940
339;09/05/2013;775;550;535
340;09/05/2013;776;550;351
340;09/05/2013;777;550;352
340;09/05/2013;778;550;679
341;09/05/2013;779;550;507
341;09/05/2013;780;550;508
344;09/05/2013;785;550;935
344;09/05/2013;786;550;936
346;14/05/2013;790;550;476
346;14/05/2013;791;550;477
346;14/05/2013;792;550;478
346;14/05/2013;793;550;479
348;14/05/2013;795;550;510
348;14/05/2013;796;550;511
348;14/05/2013;797;550;512
350;22/05/2013;803;550;525
351;22/05/2013;804;550;526
352;22/05/2013;805;550;908
352;22/05/2013;806;550;909
354;22/05/2013;809;550;935
354;22/05/2013;810;550;936
355;22/05/2013;811;550;524
356;22/05/2013;812;550;911
356;22/05/2013;813;550;912
357;22/05/2013;814;550;910
358;22/05/2013;815;550;937
361;22/05/2013;818;550;510
361;22/05/2013;819;550;511
362;22/05/2013;820;550;527
363;22/05/2013;821;550;509
365;23/05/2013;824;550;523
370;23/05/2013;833;550;938
370;23/05/2013;834;550;939
376;23/05/2013;843;550;513
378;23/05/2013;846;550;931
378;23/05/2013;847;550;932
378;23/05/2013;848;550;933
378;23/05/2013;849;550;934
381;29/05/2013;857;550;931
381;29/05/2013;858;550;932
383;29/05/2013;861;550;930
384;29/05/2013;862;550;332
385;29/05/2013;863;550;948
385;29/05/2013;864;550;907
386;29/05/2013;865;1250;325
386;29/05/2013;866;1250;326
388;29/05/2013;870;550;930
388;29/05/2013;871;550;921
390;29/05/2013;873;550;933
390;29/05/2013;874;550;934
390;29/05/2013;875;550;922
391;29/05/2013;876;550;319
392;29/05/2013;877;550;928
392;29/05/2013;878;550;929
393;11/06/2013;879;550;319
398;25/06/2013;890;550;530
400;25/06/2013;892;550;512
401;25/06/2013;893;550;513
402;25/06/2013;894;550;317
402;25/06/2013;895;550;318
407;12/07/2013;905;550;941
412;22/07/2013;912;550;523
412;22/07/2013;913;550;524
414;30/07/2013;917;550;908
414;30/07/2013;918;550;909
416;30/07/2013;920;550;351
416;30/07/2013;921;550;352
416;30/07/2013;922;550;679
418;04/08/2013;926;550;930
418;04/08/2013;927;550;921
420;04/08/2013;929;550;923
421;04/08/2013;930;550;317
421;04/08/2013;931;550;318
421;04/08/2013;932;550;319
422;04/08/2013;933;550;928
422;04/08/2013;934;550;929
423;04/08/2013;935;550;319
428;04/08/2013;946;550;530
430;04/08/2013;948;550;512
431;04/08/2013;949;550;513
432;04/08/2013;950;550;319
437;05/08/2013;963;550;941
442;05/08/2013;970;550;523
442;05/08/2013;971;550;524
444;05/08/2013;975;550;910
444;05/08/2013;976;550;911
446;05/08/2013;978;550;351
446;05/08/2013;979;550;352
446;05/08/2013;980;550;679
447;05/08/2013;981;550;507
447;05/08/2013;982;550;508
448;05/08/2013;983;550;355
448;05/08/2013;984;550;940
448;05/08/2013;985;550;535
449;06/08/2013;986;550;351
449;06/08/2013;987;550;352
449;06/08/2013;988;550;679
450;06/08/2013;989;550;507
450;06/08/2013;990;550;508
453;06/08/2013;994;550;935
453;06/08/2013;995;550;936
455;06/08/2013;998;550;480
455;06/08/2013;999;550;481
455;06/08/2013;1000;550;482
455;06/08/2013;1001;550;483
455;06/08/2013;1002;550;484
455;06/08/2013;1003;550;485
455;06/08/2013;1004;550;486
455;06/08/2013;1005;550;487
455;06/08/2013;1006;550;488
455;06/08/2013;1007;550;489
457;06/08/2013;1009;550;510
457;06/08/2013;1010;550;511
457;06/08/2013;1011;550;512
458;06/08/2013;1014;550;914
458;06/08/2013;1015;550;915
458;06/08/2013;1016;550;916
459;06/08/2013;1017;550;525
460;06/08/2013;1018;550;526
461;06/08/2013;1019;550;913
463;06/08/2013;1022;550;935
463;06/08/2013;1023;550;936
464;06/08/2013;1024;550;524
465;07/08/2013;1025;550;911
465;07/08/2013;1026;550;912
466;07/08/2013;1027;550;910
467;07/08/2013;1028;550;937
470;07/08/2013;1035;550;510
470;07/08/2013;1036;550;511
471;07/08/2013;1037;550;527
472;07/08/2013;1038;550;938
472;07/08/2013;1039;550;939
474;07/08/2013;1043;550;523
479;07/08/2013;1060;550;938
479;07/08/2013;1061;550;939
485;08/08/2013;1073;550;513
487;08/08/2013;1078;550;931
487;08/08/2013;1079;550;932
487;08/08/2013;1080;550;933
487;08/08/2013;1081;550;934
490;08/08/2013;1092;550;931
490;08/08/2013;1093;550;932
492;08/08/2013;1096;550;928
492;08/08/2013;1097;550;929
493;08/08/2013;1098;550;332
494;08/08/2013;1099;550;948
494;08/08/2013;1100;550;907
495;08/08/2013;1101;1250;325
495;08/08/2013;1102;1250;326
497;10/08/2013;1106;550;930
497;10/08/2013;1107;550;921
499;10/08/2013;1109;550;933
499;10/08/2013;1110;550;934
499;10/08/2013;1111;550;922
499;10/08/2013;1112;550;923
500;10/08/2013;1113;550;317
500;10/08/2013;1114;550;318
500;10/08/2013;1115;550;319
501;10/08/2013;1116;550;928
501;10/08/2013;1117;550;929
502;10/08/2013;1118;550;319
507;11/08/2013;1128;550;530
509;11/08/2013;1130;550;512
510;11/08/2013;1131;550;513
511;11/08/2013;1132;550;317
511;11/08/2013;1133;550;318
511;11/08/2013;1134;550;319
516;11/08/2013;1162;550;941
521;12/08/2013;1169;550;523
521;12/08/2013;1170;550;524
523;12/08/2013;1173;550;912
523;12/08/2013;1174;550;913
523;12/08/2013;1175;550;914
525;12/08/2013;1177;550;351
525;12/08/2013;1178;550;352
525;12/08/2013;1179;550;679
526;12/08/2013;1180;550;507
526;12/08/2013;1181;550;508
527;12/08/2013;1182;550;355
527;12/08/2013;1183;550;940
527;12/08/2013;1184;550;535
528;12/08/2013;1185;550;351
528;12/08/2013;1186;550;352
528;12/08/2013;1187;550;679
529;12/08/2013;1188;550;507
529;12/08/2013;1189;550;508
532;12/08/2013;1193;550;935
532;12/08/2013;1194;550;936
534;12/08/2013;1198;550;476
534;12/08/2013;1199;550;477
536;12/08/2013;1201;550;510
536;12/08/2013;1202;550;511
536;12/08/2013;1203;550;512
537;13/08/2013;1204;550;507
537;13/08/2013;1205;550;508
538;13/08/2013;1206;550;355
538;13/08/2013;1207;550;940
538;13/08/2013;1208;550;535
539;13/08/2013;1209;550;351
539;13/08/2013;1210;550;352
539;13/08/2013;1211;550;679
540;13/08/2013;1212;550;507
540;13/08/2013;1213;550;508
542;13/08/2013;1218;550;525
543;13/08/2013;1219;550;526
544;13/08/2013;1220;550;908
544;13/08/2013;1221;550;909
546;13/08/2013;1224;550;935
546;13/08/2013;1225;550;936
547;13/08/2013;1226;550;524
548;13/08/2013;1227;550;911
548;13/08/2013;1228;550;912
549;13/08/2013;1229;550;910
550;13/08/2013;1230;550;937
553;13/08/2013;1236;550;510
553;13/08/2013;1237;550;511
554;13/08/2013;1238;550;527
555;13/08/2013;1239;550;509
557;14/08/2013;1244;550;523
562;14/08/2013;1254;550;938
562;14/08/2013;1255;550;939
568;14/08/2013;1266;550;513
570;14/08/2013;1272;550;931
570;14/08/2013;1273;550;932
570;14/08/2013;1274;550;933
573;15/08/2013;1280;550;931
573;15/08/2013;1281;550;932
575;15/08/2013;1284;550;930
576;15/08/2013;1285;550;332
577;15/08/2013;1286;550;948
577;15/08/2013;1287;550;907
578;15/08/2013;1288;1250;325
578;15/08/2013;1289;1250;326
580;15/08/2013;1293;550;930
580;15/08/2013;1294;550;921
582;15/08/2013;1296;550;933
582;15/08/2013;1297;550;934
583;15/08/2013;1298;550;317
583;15/08/2013;1299;550;318
583;15/08/2013;1300;550;319
584;15/08/2013;1301;550;928
584;15/08/2013;1302;550;929
585;15/08/2013;1303;550;319
590;17/08/2013;1315;550;530
592;17/08/2013;1317;550;512
593;18/08/2013;1318;550;513
594;18/08/2013;1319;550;317
594;18/08/2013;1320;550;318
599;18/08/2013;1340;550;941
604;18/08/2013;1347;550;523
604;18/08/2013;1348;550;524
606;18/08/2013;1354;550;915
606;18/08/2013;1355;550;916
608;18/08/2013;1357;550;351
608;18/08/2013;1358;550;352
608;18/08/2013;1359;550;679
611;19/08/2013;1364;550;935
611;19/08/2013;1365;550;936
613;19/08/2013;1368;550;507
613;19/08/2013;1369;550;508
614;19/08/2013;1370;550;355
614;19/08/2013;1371;550;940
615;19/08/2013;1372;550;351
615;19/08/2013;1373;550;352
615;19/08/2013;1374;550;679
616;19/08/2013;1375;550;507
616;19/08/2013;1376;550;508
619;19/08/2013;1383;550;935
619;19/08/2013;1384;550;936
621;19/08/2013;1388;550;478
621;19/08/2013;1389;550;479
621;19/08/2013;1390;550;480
621;19/08/2013;1391;550;481
623;19/08/2013;1393;550;510
623;19/08/2013;1394;550;511
623;19/08/2013;1395;550;512
625;19/08/2013;1398;550;525
626;19/08/2013;1399;550;526
627;19/08/2013;1400;550;913
629;20/08/2013;1403;550;935
629;20/08/2013;1404;550;936
630;20/08/2013;1405;550;524
631;20/08/2013;1406;550;911
631;20/08/2013;1407;550;912
632;20/08/2013;1408;550;910
633;20/08/2013;1409;550;937
636;20/08/2013;1413;550;510
636;20/08/2013;1414;550;511
637;21/08/2013;1415;550;482
637;21/08/2013;1416;550;483
637;21/08/2013;1417;550;484
637;21/08/2013;1418;550;485
637;21/08/2013;1419;550;486
637;21/08/2013;1420;550;487
639;21/08/2013;1422;550;510
639;21/08/2013;1423;550;511
639;21/08/2013;1424;550;512
640;21/08/2013;1426;550;914
640;21/08/2013;1427;550;915
641;21/08/2013;1428;550;527
642;21/08/2013;1429;550;938
642;21/08/2013;1430;550;939
644;21/08/2013;1432;550;523
649;21/08/2013;1448;550;938
649;21/08/2013;1449;550;939
655;21/08/2013;1461;550;513
657;22/08/2013;1466;550;934
660;22/08/2013;1477;550;931
660;22/08/2013;1478;550;932
662;22/08/2013;1483;550;928
662;22/08/2013;1484;550;929
663;22/08/2013;1485;550;332
664;22/08/2013;1486;550;948
664;22/08/2013;1487;550;907
665;22/08/2013;1488;1250;325
665;22/08/2013;1489;1250;326
667;22/08/2013;1493;550;930
667;22/08/2013;1494;550;921
669;22/08/2013;1496;550;922
669;22/08/2013;1497;550;923
670;22/08/2013;1498;550;317
670;22/08/2013;1499;550;318
670;22/08/2013;1500;550;319
671;22/08/2013;1501;550;928
671;22/08/2013;1502;550;929
672;22/08/2013;1503;550;319
677;25/08/2013;1513;550;530
679;25/08/2013;1515;550;512
680;25/08/2013;1516;550;513
681;25/08/2013;1517;550;319
686;25/08/2013;1544;550;941
691;26/08/2013;1551;550;523
691;26/08/2013;1552;550;524
693;26/08/2013;1555;550;908
693;26/08/2013;1556;550;909
693;26/08/2013;1557;550;910
695;26/08/2013;1559;550;351
695;26/08/2013;1560;550;352
695;26/08/2013;1561;550;679
696;26/08/2013;1562;550;507
696;26/08/2013;1563;550;508
697;26/08/2013;1564;550;535
698;26/08/2013;1565;550;351
698;26/08/2013;1566;550;352
698;26/08/2013;1567;550;679
699;26/08/2013;1568;550;507
699;26/08/2013;1569;550;508
702;26/08/2013;1572;550;935
702;26/08/2013;1573;550;936
704;26/08/2013;1577;550;488
704;26/08/2013;1578;550;489
706;27/08/2013;1580;550;510
706;27/08/2013;1581;550;511
706;27/08/2013;1582;550;512
707;27/08/2013;1583;550;916
708;27/08/2013;1584;550;525
709;27/08/2013;1585;550;526
710;27/08/2013;1586;550;908
710;27/08/2013;1587;550;909
710;27/08/2013;1588;550;913
712;27/08/2013;1591;550;935
712;27/08/2013;1592;550;936
713;27/08/2013;1593;550;524
714;27/08/2013;1594;550;911
714;27/08/2013;1595;550;912
715;27/08/2013;1596;550;910
716;27/08/2013;1597;550;937
719;27/08/2013;1601;550;510
719;27/08/2013;1602;550;511
720;27/08/2013;1603;550;527
721;28/08/2013;1604;550;509
723;28/08/2013;1607;550;523
728;28/08/2013;1614;550;938
728;28/08/2013;1615;550;939
734;28/08/2013;1625;550;513
736;28/08/2013;1632;550;931
736;28/08/2013;1633;550;932
736;28/08/2013;1634;550;933
736;28/08/2013;1635;550;934
739;29/08/2013;1642;550;931
739;29/08/2013;1643;550;932
741;29/08/2013;1647;550;930
742;29/08/2013;1648;550;332
743;29/08/2013;1649;550;948
743;29/08/2013;1650;550;907
744;29/08/2013;1651;1250;325
744;29/08/2013;1652;1250;326
746;29/08/2013;1656;550;930
746;29/08/2013;1657;550;921
748;29/08/2013;1659;550;933
748;29/08/2013;1660;550;934
748;29/08/2013;1661;550;922
748;29/08/2013;1662;550;923
749;29/08/2013;1663;550;317
749;29/08/2013;1664;550;318
749;29/08/2013;1665;550;319
750;29/08/2013;1666;550;928
750;29/08/2013;1667;550;929
751;29/08/2013;1668;550;319
753;30/08/2013;1671;550;525
754;30/08/2013;1672;550;526
755;30/08/2013;1673;550;908
755;30/08/2013;1674;550;909
755;30/08/2013;1675;550;913
760;01/09/2013;1685;550;530
762;01/09/2013;1687;550;512
763;01/09/2013;1688;550;513
764;01/09/2013;1689;550;317
764;01/09/2013;1690;550;318
769;01/09/2013;1716;550;941
774;02/09/2013;1723;550;523
774;02/09/2013;1724;550;524
776;02/09/2013;1728;550;911
776;02/09/2013;1729;550;912
776;02/09/2013;1730;550;913
776;02/09/2013;1731;550;914
778;02/09/2013;1733;550;351
778;02/09/2013;1734;550;352
778;02/09/2013;1735;550;679
779;02/09/2013;1736;550;507
779;02/09/2013;1737;550;508
780;02/09/2013;1738;550;355
780;02/09/2013;1739;550;940
780;02/09/2013;1740;550;535
781;02/09/2013;1741;550;351
781;02/09/2013;1742;550;352
781;02/09/2013;1743;550;679
782;02/09/2013;1744;550;507
782;02/09/2013;1745;550;508
785;02/09/2013;1749;550;935
785;02/09/2013;1750;550;936
787;02/09/2013;1755;550;476
787;02/09/2013;1756;550;477
787;02/09/2013;1757;550;478
787;02/09/2013;1758;550;479
787;02/09/2013;1759;550;480
787;02/09/2013;1760;550;481
789;03/09/2013;1762;550;510
789;03/09/2013;1763;550;511
789;03/09/2013;1764;550;512
791;03/09/2013;1768;550;525
792;03/09/2013;1769;550;526
793;03/09/2013;1770;550;908
793;03/09/2013;1771;550;909
793;03/09/2013;1772;550;913
795;03/09/2013;1775;550;935
795;03/09/2013;1776;550;936
796;03/09/2013;1777;550;524
797;03/09/2013;1778;550;911
797;03/09/2013;1779;550;912
798;03/09/2013;1780;550;910
799;03/09/2013;1781;550;937
802;03/09/2013;1786;550;510
802;03/09/2013;1787;550;511
803;03/09/2013;1788;550;527
804;03/09/2013;1789;550;938
804;03/09/2013;1790;550;939
806;04/09/2013;1794;550;523
811;04/09/2013;1805;550;938
811;04/09/2013;1806;550;939
817;04/09/2013;1823;550;513
819;04/09/2013;1829;550;931
819;04/09/2013;1830;550;932
819;04/09/2013;1831;550;933
819;04/09/2013;1832;550;934
822;05/09/2013;1840;550;931
822;05/09/2013;1841;550;932
824;05/09/2013;1845;550;928
824;05/09/2013;1846;550;929
825;05/09/2013;1847;550;332
826;05/09/2013;1848;550;948
826;05/09/2013;1849;550;907
827;05/09/2013;1850;1250;325
827;05/09/2013;1851;1250;326
829;05/09/2013;1855;550;930
829;05/09/2013;1856;550;921
831;05/09/2013;1858;550;933
831;05/09/2013;1859;550;934
831;05/09/2013;1860;550;922
831;05/09/2013;1861;550;923
832;05/09/2013;1862;550;317
832;05/09/2013;1863;550;318
833;05/09/2013;1864;550;928
833;05/09/2013;1865;550;929
834;05/09/2013;1866;550;319
837;06/09/2013;1884;550;935
837;06/09/2013;1885;550;936
838;06/09/2013;1886;550;524
839;06/09/2013;1887;550;911
839;06/09/2013;1888;550;912
840;06/09/2013;1889;550;910
843;08/09/2013;1893;550;530
845;08/09/2013;1895;550;512
846;08/09/2013;1896;550;513
847;08/09/2013;1897;550;319
852;08/09/2013;1915;550;941
857;09/09/2013;1922;550;523
857;09/09/2013;1923;550;524
859;09/09/2013;1929;550;915
859;09/09/2013;1930;550;916
861;09/09/2013;1932;550;351
861;09/09/2013;1933;550;352
861;09/09/2013;1934;550;679
862;09/09/2013;1935;550;507
862;09/09/2013;1936;550;508
863;09/09/2013;1937;550;355
863;09/09/2013;1938;550;940
863;09/09/2013;1939;550;535
864;09/09/2013;1940;550;351
864;09/09/2013;1941;550;352
865;09/09/2013;1942;550;507
865;09/09/2013;1943;550;508
868;09/09/2013;1951;550;935
868;09/09/2013;1952;550;936
870;09/09/2013;1958;550;482
870;09/09/2013;1959;550;483
870;09/09/2013;1960;550;484
872;09/09/2013;1962;550;510
872;09/09/2013;1963;550;511
874;10/09/2013;1967;550;525
875;10/09/2013;1968;550;526
876;10/09/2013;1969;550;908
876;10/09/2013;1970;550;909
876;10/09/2013;1971;550;913
878;10/09/2013;1974;550;935
878;10/09/2013;1975;550;936
879;10/09/2013;1976;550;524
880;10/09/2013;1977;550;911
880;10/09/2013;1978;550;912
881;10/09/2013;1979;550;910
882;10/09/2013;1980;550;937
885;10/09/2013;1985;550;510
885;10/09/2013;1986;550;511
886;10/09/2013;1987;550;527
887;10/09/2013;1988;550;509
889;11/09/2013;1994;550;523
894;11/09/2013;2002;550;938
894;11/09/2013;2003;550;939
900;11/09/2013;2017;550;513
902;11/09/2013;2022;550;931
902;11/09/2013;2023;550;932
905;12/09/2013;2029;550;937
908;12/09/2013;2035;550;510
908;12/09/2013;2036;550;511
909;15/09/2013;2037;550;931
909;15/09/2013;2038;550;932
911;15/09/2013;2042;550;930
912;15/09/2013;2043;550;332
913;15/09/2013;2044;550;948
913;15/09/2013;2045;550;907
914;15/09/2013;2046;1250;325
914;15/09/2013;2047;1250;326
916;15/09/2013;2051;550;930
916;15/09/2013;2052;550;921
918;15/09/2013;2054;550;933
918;15/09/2013;2055;550;934
918;15/09/2013;2056;550;922
918;15/09/2013;2057;550;923
919;15/09/2013;2058;550;319
920;15/09/2013;2059;550;928
920;15/09/2013;2060;550;929
921;15/09/2013;2061;550;319
926;17/09/2013;2082;550;530
928;17/09/2013;2084;550;512
929;18/09/2013;2085;550;513
930;18/09/2013;2086;550;317
930;18/09/2013;2087;550;318
930;18/09/2013;2088;550;319
935;18/09/2013;2100;550;941
940;18/09/2013;2107;550;523
940;18/09/2013;2108;550;524
942;18/09/2013;2113;550;908
942;18/09/2013;2114;550;909
