purchaseorderid;revisionnumber;status;employeeid;vendorid;shipmethodid;orderdate              ;shipdate               ;subtotal  ;taxamt   ;freight  ;modifieddate           
163;4;4;257;1654;4;30/05/2012;08/06/2012;20397,30;1631,78;509,9325;08/06/2012
164;4;3;261;1664;3;30/05/2012;08/06/2012;14628,08;1170,25;365,7019;08/06/2012
165;4;4;251;1678;3;30/05/2012;08/06/2012;58685,55;4694,84;1467,1388;08/06/2012
166;4;4;253;1616;4;30/05/2012;08/06/2012;481,89;38,55;12,0472;08/06/2012
167;4;4;255;1492;4;30/05/2012;08/06/2012;710,96;56,88;17,7739;08/06/2012
168;4;4;256;1602;5;30/05/2012;08/06/2012;1796,04;143,68;44,9009;08/06/2012
169;4;4;259;1540;4;30/05/2012;08/06/2012;664,30;53,14;16,6076;08/06/2012
170;4;4;260;1628;5;30/05/2012;08/06/2012;34644,23;2771,54;866,1056;08/06/2012
171;4;4;258;1604;3;30/05/2012;08/06/2012;1581,93;126,55;39,5483;08/06/2012
172;4;4;254;1690;5;30/05/2012;08/06/2012;146,29;11,70;3,6572;08/06/2012
173;4;4;257;1566;5;11/06/2012;20/06/2012;102,56;8,21;2,5641;20/06/2012
174;4;3;261;1698;5;11/06/2012;20/06/2012;150,79;12,06;3,7698;20/06/2012
175;4;4;251;1560;5;11/06/2012;20/06/2012;13669,43;1093,55;341,7356;20/06/2012
176;4;4;253;1692;5;11/06/2012;20/06/2012;13458,69;1076,70;336,4673;20/06/2012
177;4;4;252;1696;2;22/06/2012;01/07/2012;101720,85;8137,67;2543,0213;01/07/2012
178;4;4;256;1504;1;22/06/2012;01/07/2012;551,88;44,15;13,7970;01/07/2012
179;4;4;259;1544;1;22/06/2012;01/07/2012;6987,75;559,02;174,6938;01/07/2012
180;4;4;260;1530;2;22/06/2012;01/07/2012;28072,28;2245,78;701,8069;01/07/2012
181;4;4;258;1508;1;22/06/2012;01/07/2012;1917,30;153,38;47,9325;01/07/2012
182;4;4;254;1694;1;22/06/2012;01/07/2012;4215,75;337,26;105,3938;01/07/2012
183;4;4;257;1624;2;22/06/2012;01/07/2012;28297,50;2263,80;707,4375;01/07/2012
184;4;3;261;1548;2;22/06/2012;01/07/2012;59,94;4,80;1,4986;01/07/2012
185;4;4;251;1598;4;22/06/2012;01/07/2012;1055,57;84,45;26,3891;01/07/2012
186;4;4;253;1658;5;22/06/2012;01/07/2012;43878,45;3510,28;1096,9613;01/07/2012
187;4;4;255;1536;4;22/06/2012;01/07/2012;747,81;59,82;18,6953;01/07/2012
188;4;4;252;1568;1;22/06/2012;01/07/2012;20957,48;1676,60;523,9369;01/07/2012
189;4;4;259;1648;5;22/06/2012;01/07/2012;142,41;11,39;3,5603;01/07/2012
190;4;4;260;1646;2;22/06/2012;01/07/2012;48030,68;3842,45;1200,7669;01/07/2012
191;4;4;258;1672;4;22/06/2012;01/07/2012;28597,02;2287,76;714,9256;01/07/2012
192;4;4;250;1600;1;22/06/2012;01/07/2012;1276,28;102,10;31,9069;01/07/2012
193;4;4;257;1522;1;25/06/2012;04/07/2012;2003,93;160,31;50,0981;04/07/2012
194;4;3;261;1570;2;25/06/2012;04/07/2012;28343,70;2267,50;708,5925;04/07/2012
195;4;4;251;1516;1;25/06/2012;04/07/2012;454,86;36,39;11,3715;04/07/2012
196;4;4;253;1506;5;25/06/2012;04/07/2012;43878,45;3510,28;1096,9613;04/07/2012
197;4;4;255;1626;2;25/06/2012;04/07/2012;7132,13;570,57;178,3031;04/07/2012
198;4;4;256;1542;2;25/06/2012;04/07/2012;28343,70;2267,50;708,5925;04/07/2012
199;4;4;259;1610;4;25/06/2012;04/07/2012;22516,73;1801,34;562,9181;04/07/2012
200;4;4;260;1638;5;25/06/2012;04/07/2012;34644,23;2771,54;866,1056;04/07/2012
201;4;4;258;1582;5;27/07/2012;05/08/2012;532,92;42,63;13,3229;05/08/2012
202;4;4;254;1510;5;27/07/2012;05/08/2012;143,04;11,44;3,5760;05/08/2012
203;4;4;257;1526;2;27/07/2012;05/08/2012;28199,33;2255,95;704,9831;05/08/2012
204;4;3;261;1644;1;27/07/2012;05/08/2012;3713,33;297,07;92,8331;05/08/2012
205;4;4;251;1680;5;27/07/2012;05/08/2012;63831,08;5106,49;1595,7769;05/08/2012
206;4;4;253;1584;5;27/07/2012;05/08/2012;13361,04;1068,88;334,0260;05/08/2012
207;4;4;255;1620;5;27/07/2012;05/08/2012;5711,48;456,92;142,7869;05/08/2012
208;4;4;256;1666;4;27/07/2012;05/08/2012;627,45;50,20;15,6862;05/08/2012
209;4;4;259;1592;2;31/07/2012;09/08/2012;97,97;7,84;2,4491;09/08/2012
210;4;4;250;1618;4;31/07/2012;09/08/2012;114,47;9,16;2,8618;09/08/2012
211;4;4;258;1612;4;31/07/2012;09/08/2012;132,65;10,61;3,3162;09/08/2012
212;4;4;254;1586;5;31/07/2012;09/08/2012;43878,45;3510,28;1096,9613;09/08/2012
213;4;4;257;1500;1;15/08/2012;24/08/2012;418,95;33,52;10,4738;24/08/2012
214;4;3;261;1656;4;15/08/2012;24/08/2012;272,44;21,80;6,8111;24/08/2012
215;4;4;251;1572;1;15/08/2012;24/08/2012;461,79;36,94;11,5448;24/08/2012
216;4;4;253;1562;5;15/08/2012;24/08/2012;544,73;43,58;13,6182;24/08/2012
217;4;4;255;1662;2;15/08/2012;24/08/2012;37,08;2,97;0,9269;24/08/2012
218;4;4;256;1682;4;15/08/2012;24/08/2012;21558,08;1724,65;538,9519;24/08/2012
219;4;4;259;1686;4;15/08/2012;24/08/2012;612,11;48,97;15,3027;24/08/2012
220;4;4;260;1684;5;15/08/2012;24/08/2012;65240,18;5219,21;1631,0044;24/08/2012
221;4;4;250;1534;5;16/08/2012;25/08/2012;534,81;42,78;13,3702;25/08/2012
222;4;4;254;1614;5;16/08/2012;25/08/2012;273,07;21,85;6,8268;25/08/2012
223;4;4;257;1588;5;16/08/2012;25/08/2012;40471,20;3237,70;1011,7800;25/08/2012
224;4;3;261;1622;5;16/08/2012;25/08/2012;278,52;22,28;6,9631;25/08/2012
225;4;4;251;1632;5;24/08/2012;02/09/2012;62092,80;4967,42;1552,3200;02/09/2012
226;4;4;253;1608;5;24/08/2012;02/09/2012;5948,25;475,86;148,7063;02/09/2012
227;5;4;255;1576;5;24/08/2012;02/09/2012;91117,95;7289,44;2277,9488;02/09/2012
228;4;4;256;1590;1;24/08/2012;02/09/2012;525,00;42,00;13,1250;02/09/2012
229;4;4;259;1514;5;24/08/2012;02/09/2012;2003,68;160,29;50,0921;02/09/2012
230;4;4;260;1498;4;24/08/2012;02/09/2012;26455,28;2116,42;661,3819;02/09/2012
231;4;4;258;1674;2;24/08/2012;02/09/2012;944,37;75,55;23,6093;02/09/2012
232;4;4;254;1652;4;24/08/2012;02/09/2012;44594,55;3567,56;1114,8638;02/09/2012
233;4;4;257;1578;5;28/08/2012;06/09/2012;26720,93;2137,67;668,0231;06/09/2012
234;4;3;261;1538;5;28/08/2012;06/09/2012;37843,58;3027,49;946,0894;06/09/2012
235;4;4;251;1556;4;28/08/2012;06/09/2012;25531,28;2042,50;638,2819;06/09/2012
236;4;4;253;1554;4;28/08/2012;06/09/2012;482,52;38,60;12,0629;06/09/2012
237;4;4;255;1688;4;05/09/2012;14/09/2012;125,75;10,06;3,1437;14/09/2012
238;4;4;256;1580;5;05/09/2012;14/09/2012;150,79;12,06;3,7698;14/09/2012
239;4;4;252;1496;4;05/09/2012;14/09/2012;602,03;48,16;15,0507;14/09/2012
240;4;4;260;1494;2;05/09/2012;14/09/2012;8847,30;707,78;221,1825;14/09/2012
241;4;4;258;1650;5;21/09/2012;30/09/2012;171,08;13,69;4,2769;30/09/2012
242;4;4;254;1654;4;21/09/2012;30/09/2012;20397,30;1631,78;509,9325;30/09/2012
243;4;4;257;1664;3;21/09/2012;30/09/2012;14628,08;1170,25;365,7019;30/09/2012
244;4;3;261;1678;3;21/09/2012;30/09/2012;33350,63;2668,05;833,7656;30/09/2012
245;5;4;250;1616;4;21/09/2012;30/09/2012;475,68;38,05;11,8920;30/09/2012
246;4;4;253;1492;5;21/09/2012;30/09/2012;564,20;45,14;14,1049;30/09/2012
247;4;4;255;1602;5;21/09/2012;30/09/2012;1796,04;143,68;44,9009;30/09/2012
248;5;4;256;1540;4;21/09/2012;30/09/2012;665,03;53,20;16,6257;30/09/2012
249;4;4;259;1628;5;21/09/2012;30/09/2012;34644,23;2771,54;866,1056;30/09/2012
250;4;4;260;1604;4;21/09/2012;30/09/2012;1839,51;147,16;45,9876;30/09/2012
251;4;4;258;1690;5;21/09/2012;30/09/2012;146,29;11,70;3,6572;30/09/2012
252;4;4;254;1566;5;21/09/2012;30/09/2012;102,56;8,21;2,5641;30/09/2012
253;4;4;252;1698;5;21/09/2012;30/09/2012;150,79;12,06;3,7698;30/09/2012
254;5;3;261;1560;5;21/09/2012;30/09/2012;13669,43;1093,55;341,7356;30/09/2012
255;4;4;251;1692;5;21/09/2012;30/09/2012;2934,54;234,76;73,3635;30/09/2012
256;4;4;253;1696;2;21/09/2012;30/09/2012;50860,43;4068,83;1271,5106;30/09/2012
257;4;4;255;1504;1;02/10/2012;11/10/2012;551,88;44,15;13,7970;11/10/2012
258;4;4;256;1544;1;02/10/2012;11/10/2012;6987,75;559,02;174,6938;11/10/2012
259;4;4;259;1530;2;02/10/2012;11/10/2012;28072,28;2245,78;701,8069;11/10/2012
260;4;4;260;1508;1;02/10/2012;11/10/2012;37312,28;2984,98;932,8069;11/10/2012
261;4;4;258;1694;1;11/10/2012;20/10/2012;3407,25;272,58;85,1813;20/10/2012
262;7;4;254;1624;2;11/10/2012;20/10/2012;28297,50;2263,80;707,4375;20/10/2012
263;4;4;257;1548;2;11/10/2012;20/10/2012;59,94;4,80;1,4986;20/10/2012
264;4;3;261;1598;4;11/10/2012;20/10/2012;240,72;19,26;6,0181;20/10/2012
265;4;4;251;1658;5;17/10/2012;26/10/2012;43878,45;3510,28;1096,9613;26/10/2012
266;4;4;253;1536;4;17/10/2012;26/10/2012;475,21;38,02;11,8802;26/10/2012
267;4;4;255;1568;5;17/10/2012;26/10/2012;5757,68;460,61;143,9419;26/10/2012
268;4;4;256;1648;5;17/10/2012;26/10/2012;142,41;11,39;3,5603;26/10/2012
269;4;4;259;1646;2;17/10/2012;26/10/2012;48030,68;3842,45;1200,7669;26/10/2012
270;4;4;260;1672;4;17/10/2012;26/10/2012;22516,73;1801,34;562,9181;26/10/2012
271;5;4;258;1600;1;17/10/2012;26/10/2012;1276,28;102,10;31,9069;26/10/2012
272;4;4;254;1522;1;17/10/2012;26/10/2012;2003,93;160,31;50,0981;26/10/2012
273;4;4;257;1570;4;17/10/2012;26/10/2012;22516,73;1801,34;562,9181;26/10/2012
274;4;3;261;1516;1;17/10/2012;26/10/2012;454,86;36,39;11,3715;26/10/2012
275;4;4;251;1506;5;17/10/2012;26/10/2012;43878,45;3510,28;1096,9613;26/10/2012
276;4;4;253;1626;2;17/10/2012;26/10/2012;7132,13;570,57;178,3031;26/10/2012
277;6;4;252;1542;2;17/10/2012;26/10/2012;28343,70;2267,50;708,5925;26/10/2012
278;4;4;256;1610;4;17/10/2012;26/10/2012;22516,73;1801,34;562,9181;26/10/2012
279;4;4;259;1638;5;17/10/2012;26/10/2012;34644,23;2771,54;866,1056;26/10/2012
280;4;4;260;1582;4;17/10/2012;26/10/2012;371,23;29,70;9,2807;26/10/2012
281;4;4;258;1510;5;08/02/2013;17/02/2013;143,04;11,44;3,5760;17/02/2013
282;4;4;254;1526;2;08/02/2013;17/02/2013;28199,33;2255,95;704,9831;17/02/2013
283;4;4;257;1644;1;08/02/2013;17/02/2013;3713,33;297,07;92,8331;17/02/2013
284;5;3;261;1680;5;08/02/2013;17/02/2013;43878,45;3510,28;1096,9613;17/02/2013
285;4;4;251;1584;5;08/02/2013;17/02/2013;2979,27;238,34;74,4818;17/02/2013
286;4;4;253;1620;5;08/02/2013;17/02/2013;5711,48;456,92;142,7869;17/02/2013
287;4;4;255;1666;4;08/02/2013;17/02/2013;347,45;27,80;8,6861;17/02/2013
