productid;businessentityid;averageleadtime;standardprice;lastreceiptcost;lastreceiptdate;minorderqty;maxorderqty;onorderqty;unitmeasurecode;modifieddate 
351;1694;15;5,9;6,195;26/08/2011;100;1000;300;EA ;26/08/2011
352;1544;15;1,1;1,155;26/08/2011;100;1000;300;EA ;26/08/2011
352;1694;15;1,4;1,47;26/08/2011;100;1000;;EA ;26/08/2011
355;1508;15;1,3;1,365;26/08/2011;100;1000;300;EA ;26/08/2011
356;1516;18;3,43;3,6015;27/08/2011;20;100;;PAK;27/08/2011
356;1572;16;3,22;3,381;28/08/2011;20;100;60;PAK;28/08/2011
357;1516;18;3,79;3,9795;27/08/2011;20;100;;PAK;27/08/2011
357;1572;16;4,11;4,3155;28/08/2011;20;100;60;PAK;28/08/2011
358;1500;16;6,65;6,9825;28/08/2011;20;100;60;PAK;28/08/2011
359;1496;17;45,41;47,6805;29/08/2011;1;5;3;CS ;29/08/2011
359;1554;19;45,26;47,523;11/08/2011;1;5;;CS ;11/08/2011
360;1496;17;43,41;45,5805;29/08/2011;1;5;3;CS ;29/08/2011
360;1554;19;43,26;45,423;11/08/2011;1;5;;CS ;11/08/2011
361;1496;17;47,48;49,854;05/08/2011;1;5;;CS ;05/08/2011
361;1554;19;47,33;49,6965;18/08/2011;1;5;;CS ;18/08/2011
362;1496;17;43,41;45,5805;05/08/2011;1;5;3;CS ;05/08/2011
362;1554;19;43,26;45,423;18/08/2011;1;5;;CS ;18/08/2011
363;1496;17;41,41;43,4805;05/08/2011;1;5;;CS ;05/08/2011
363;1554;19;41,26;43,323;18/08/2011;1;5;;CS ;18/08/2011
364;1496;17;45,48;47,754;12/08/2011;1;5;3;CS ;12/08/2011
364;1554;19;45,33;47,5965;24/08/2011;1;5;;CS ;24/08/2011
365;1496;17;41,41;43,4805;12/08/2011;1;5;;CS ;12/08/2011
365;1554;19;41,26;43,323;24/08/2011;1;5;;CS ;24/08/2011
366;1496;17;39,41;41,3805;12/08/2011;1;5;3;CS ;12/08/2011
366;1554;19;39,26;41,223;29/08/2011;1;5;;CS ;29/08/2011
367;1496;17;43,48;45,654;12/08/2011;1;5;;CS ;12/08/2011
367;1554;19;43,33;45,4965;29/08/2011;1;5;;CS ;29/08/2011
368;1496;17;39,41;41,3805;12/08/2011;1;5;3;CS ;12/08/2011
368;1554;19;39,26;41,223;29/08/2011;1;5;;CS ;29/08/2011
369;1496;17;37,41;39,2805;12/08/2011;1;5;3;CS ;12/08/2011
369;1554;19;37,26;39,123;29/08/2011;1;5;;CS ;29/08/2011
370;1496;17;41,48;43,554;18/08/2011;1;5;3;CS ;18/08/2011
370;1554;19;41,33;43,3965;30/07/2011;1;5;;CS ;30/07/2011
371;1496;17;37,41;39,2805;18/08/2011;1;5;;CS ;18/08/2011
371;1554;19;37,26;39,123;30/07/2011;1;5;;CS ;30/07/2011
372;1496;17;35,41;37,1805;18/08/2011;1;5;3;CS ;18/08/2011
372;1554;19;35,26;37,023;30/07/2011;1;5;;CS ;30/07/2011
373;1496;17;39,48;41,454;18/08/2011;1;5;3;CS ;18/08/2011
373;1554;19;39,33;41,2965;30/07/2011;1;5;;CS ;30/07/2011
374;1496;17;35,41;37,1805;24/08/2011;1;5;3;CS ;24/08/2011
374;1554;19;35,26;37,023;05/08/2011;1;5;;CS ;05/08/2011
375;1536;15;41,28;43,344;13/08/2011;1;5;3;CTN;13/08/2011
375;1562;16;41,21;43,2705;10/08/2011;1;5;;CTN;10/08/2011
375;1656;16;41,21;43,2705;29/07/2011;1;5;;CTN;29/07/2011
376;1536;15;37,21;39,0705;13/08/2011;1;5;;CTN;13/08/2011
376;1562;16;39,21;41,1705;10/08/2011;1;5;;CTN;10/08/2011
376;1656;16;45,28;47,544;29/07/2011;1;5;;CTN;29/07/2011
377;1536;15;35,21;36,9705;20/08/2011;1;5;3;CTN;20/08/2011
377;1562;16;43,28;45,444;17/08/2011;1;5;;CTN;17/08/2011
377;1656;16;41,21;43,2705;04/08/2011;1;5;;CTN;04/08/2011
378;1536;15;39,28;41,244;20/08/2011;1;5;3;CTN;20/08/2011
378;1562;16;39,21;41,1705;17/08/2011;1;5;;CTN;17/08/2011
378;1656;16;39,21;41,1705;04/08/2011;1;5;;CTN;04/08/2011
379;1536;15;35,21;36,9705;20/08/2011;1;5;;CTN;20/08/2011
379;1562;16;37,21;39,0705;17/08/2011;1;5;;CTN;17/08/2011
379;1656;16;43,28;45,444;04/08/2011;1;5;;CTN;04/08/2011
380;1536;15;41,16;43,218;26/08/2011;1;5;3;CTN;26/08/2011
380;1562;16;41,28;43,344;22/08/2011;1;5;;CTN;22/08/2011
380;1656;16;39,21;41,1705;10/08/2011;1;5;;CTN;10/08/2011
381;1536;15;45,23;47,4915;26/08/2011;1;5;3;CTN;26/08/2011
381;1562;16;37,21;39,0705;22/08/2011;1;5;;CTN;22/08/2011
381;1656;16;37,21;39,0705;10/08/2011;1;5;;CTN;10/08/2011
382;1536;15;41,21;43,2705;01/08/2011;1;5;3;CTN;01/08/2011
382;1562;16;35,21;36,9705;28/08/2011;1;5;;CTN;28/08/2011
383;1536;15;45,28;47,544;01/08/2011;1;5;;CTN;01/08/2011
383;1562;16;39,28;41,244;28/08/2011;1;5;;CTN;28/08/2011
384;1536;15;41,21;43,2705;01/08/2011;1;5;3;CTN;01/08/2011
384;1562;16;35,21;36,9705;28/08/2011;1;5;;CTN;28/08/2011
385;1536;15;39,21;41,1705;07/08/2011;1;5;;CTN;07/08/2011
385;1562;16;41,16;43,218;28/08/2011;1;5;;CTN;28/08/2011
386;1536;15;43,28;45,444;07/08/2011;1;5;3;CTN;07/08/2011
386;1562;16;45,23;47,4915;04/08/2011;1;5;;CTN;04/08/2011
387;1536;15;39,21;41,1705;07/08/2011;1;5;3;CTN;07/08/2011
387;1562;16;41,21;43,2705;04/08/2011;1;5;;CTN;04/08/2011
388;1536;15;37,21;39,0705;07/08/2011;1;5;3;CTN;07/08/2011
388;1562;16;45,28;47,544;04/08/2011;1;5;;CTN;04/08/2011
389;1536;15;41,28;43,344;07/08/2011;1;5;;CTN;07/08/2011
389;1562;16;41,21;43,2705;04/08/2011;1;5;;CTN;04/08/2011
390;1536;15;37,21;39,0705;07/08/2011;1;5;3;CTN;07/08/2011
390;1562;16;39,21;41,1705;04/08/2011;1;5;;CTN;04/08/2011
391;1536;15;35,21;36,9705;07/08/2011;1;5;3;CTN;07/08/2011
391;1562;16;43,28;45,444;04/08/2011;1;5;;CTN;04/08/2011
392;1536;15;39,28;41,244;07/08/2011;1;5;3;CTN;07/08/2011
392;1562;16;39,21;41,1705;04/08/2011;1;5;;CTN;04/08/2011
393;1536;15;35,21;36,9705;07/08/2011;1;5;;CTN;07/08/2011
393;1562;16;37,21;39,0705;04/08/2011;1;5;;CTN;04/08/2011
394;1536;15;41,16;43,218;07/08/2011;1;5;3;CTN;07/08/2011
394;1562;16;41,28;43,344;04/08/2011;1;5;;CTN;04/08/2011
395;1536;15;45,23;47,4915;07/08/2011;1;5;3;CTN;07/08/2011
395;1562;16;37,21;39,0705;04/08/2011;1;5;;CTN;04/08/2011
396;1536;15;41,21;43,2705;07/08/2011;1;5;;CTN;07/08/2011
396;1562;16;35,21;36,9705;04/08/2011;1;5;;CTN;04/08/2011
397;1536;15;45,28;47,544;07/08/2011;1;5;;CTN;07/08/2011
397;1562;16;39,28;41,244;04/08/2011;1;5;;CTN;04/08/2011
402;1648;15;45,21;47,4705;26/08/2011;1;5;3;CTN;26/08/2011
403;1616;17;45,21;47,4705;06/08/2011;1;5;3;CAN;06/08/2011
403;1672;15;43,21;45,3705;20/08/2011;1;5;3;CAN;20/08/2011
403;1686;19;43,28;45,444;28/08/2011;1;5;;CAN;28/08/2011
404;1616;17;43,21;45,3705;06/08/2011;1;5;3;CAN;06/08/2011
404;1672;15;47,28;49,644;20/08/2011;1;5;3;CAN;20/08/2011
404;1686;19;39,21;41,1705;28/08/2011;1;5;;CAN;28/08/2011
405;1616;17;47,28;49,644;12/08/2011;1;5;3;CAN;12/08/2011
405;1672;15;43,21;45,3705;20/08/2011;1;5;3;CAN;20/08/2011
405;1686;19;37,21;39,0705;04/08/2011;1;5;;CAN;04/08/2011
406;1616;17;43,21;45,3705;12/08/2011;1;5;3;CAN;12/08/2011
406;1672;15;41,21;43,2705;20/08/2011;1;5;3;CAN;20/08/2011
406;1686;19;41,28;43,344;04/08/2011;1;5;;CAN;04/08/2011
407;1616;17;41,21;43,2705;12/08/2011;1;5;;CAN;12/08/2011
407;1672;15;45,28;47,544;20/08/2011;1;5;;CAN;20/08/2011
407;1686;19;37,21;39,0705;04/08/2011;1;5;;CAN;04/08/2011
408;1616;17;45,28;47,544;19/08/2011;1;5;3;CAN;19/08/2011
408;1672;15;41,21;43,2705;20/08/2011;1;5;3;CAN;20/08/2011
408;1686;19;35,21;36,9705;10/08/2011;1;5;;CAN;10/08/2011
409;1616;17;41,21;43,2705;19/08/2011;1;5;3;CAN;19/08/2011
409;1672;15;39,21;41,1705;26/08/2011;1;5;3;CAN;26/08/2011
409;1686;19;39,28;41,244;10/08/2011;1;5;;CAN;10/08/2011
410;1616;17;39,21;41,1705;25/08/2011;1;5;3;CAN;25/08/2011
410;1686;19;35,21;36,9705;10/08/2011;1;5;;CAN;10/08/2011
411;1616;17;43,28;45,444;25/08/2011;1;5;;CAN;25/08/2011
411;1686;19;33,21;34,8705;10/08/2011;1;5;;CAN;10/08/2011
412;1616;17;39,21;41,1705;25/08/2011;1;5;3;CAN;25/08/2011
412;1686;19;37,28;39,144;10/08/2011;1;5;;CAN;10/08/2011
413;1616;17;37,21;39,0705;25/08/2011;1;5;;CAN;25/08/2011
413;1686;19;45,31;47,5755;10/08/2011;1;5;;CAN;10/08/2011
414;1616;17;41,28;43,344;24/07/2011;1;5;3;CAN;24/07/2011
414;1686;19;43,31;45,4755;17/08/2011;1;5;;CAN;17/08/2011
415;1616;17;37,21;39,0705;24/07/2011;1;5;3;CAN;24/07/2011
415;1686;19;47,38;49,749;17/08/2011;1;5;;CAN;17/08/2011
416;1616;17;35,21;36,9705;24/07/2011;1;5;3;CAN;24/07/2011
416;1686;19;43,31;45,4755;17/08/2011;1;5;;CAN;17/08/2011
417;1616;17;39,28;41,244;24/07/2011;1;5;;CAN;24/07/2011
417;1686;19;41,31;43,3755;17/08/2011;1;5;;CAN;17/08/2011
418;1616;17;35,21;36,9705;31/07/2011;1;5;3;CAN;31/07/2011
418;1686;19;45,38;47,649;22/08/2011;1;5;;CAN;22/08/2011
419;1616;17;33,21;34,8705;31/07/2011;1;5;3;CAN;31/07/2011
419;1686;19;41,31;43,3755;22/08/2011;1;5;;CAN;22/08/2011
420;1616;17;37,28;39,144;31/07/2011;1;5;3;CAN;31/07/2011
420;1686;19;39,31;41,2755;22/08/2011;1;5;;CAN;22/08/2011
421;1616;17;45,31;47,5755;31/07/2011;1;5;3;CAN;31/07/2011
421;1686;19;43,38;45,549;22/08/2011;1;5;;CAN;22/08/2011
422;1492;17;45,26;47,523;12/08/2011;1;5;;CTN;12/08/2011
422;1534;19;45,41;47,6805;17/08/2011;1;5;;CTN;17/08/2011
422;1666;16;45,41;47,6805;21/08/2011;1;5;;CTN;21/08/2011
423;1492;17;43,26;45,423;12/08/2011;1;5;;CTN;12/08/2011
423;1534;19;43,41;45,5805;17/08/2011;1;5;;CTN;17/08/2011
423;1666;16;43,41;45,5805;21/08/2011;1;5;;CTN;21/08/2011
424;1492;17;47,33;49,6965;19/08/2011;1;5;;CTN;19/08/2011
424;1534;19;47,48;49,854;17/08/2011;1;5;;CTN;17/08/2011
424;1666;16;47,48;49,854;27/08/2011;1;5;;CTN;27/08/2011
425;1492;17;43,26;45,423;19/08/2011;1;5;;CTN;19/08/2011
425;1534;19;43,41;45,5805;17/08/2011;1;5;;CTN;17/08/2011
425;1666;16;43,41;45,5805;27/08/2011;1;5;;CTN;27/08/2011
426;1492;17;41,26;43,323;19/08/2011;1;5;;CTN;19/08/2011
426;1534;19;41,41;43,4805;17/08/2011;1;5;;CTN;17/08/2011
426;1666;16;41,41;43,4805;27/08/2011;1;5;;CTN;27/08/2011
427;1492;17;45,33;47,5965;25/08/2011;1;5;;CTN;25/08/2011
427;1534;19;45,48;47,754;22/08/2011;1;5;;CTN;22/08/2011
427;1666;16;45,48;47,754;03/08/2011;1;5;;CTN;03/08/2011
428;1492;17;41,26;43,323;25/08/2011;1;5;;CTN;25/08/2011
428;1534;19;41,41;43,4805;22/08/2011;1;5;;CTN;22/08/2011
428;1666;16;41,41;43,4805;03/08/2011;1;5;;CTN;03/08/2011
429;1492;17;39,26;41,223;24/07/2011;1;5;;CTN;24/07/2011
429;1534;19;39,41;41,3805;22/08/2011;1;5;;CTN;22/08/2011
429;1666;16;39,41;41,3805;03/08/2011;1;5;;CTN;03/08/2011
430;1492;17;43,33;45,4965;24/07/2011;1;5;;CTN;24/07/2011
430;1534;19;43,48;45,654;22/08/2011;1;5;;CTN;22/08/2011
430;1666;16;43,48;45,654;03/08/2011;1;5;;CTN;03/08/2011
431;1492;17;39,26;41,223;24/07/2011;1;5;;CTN;24/07/2011
431;1534;19;39,41;41,3805;22/08/2011;1;5;;CTN;22/08/2011
431;1666;16;39,41;41,3805;03/08/2011;1;5;;CTN;03/08/2011
432;1492;17;37,26;39,123;24/07/2011;1;5;;CTN;24/07/2011
432;1534;19;37,41;39,2805;22/08/2011;1;5;;CTN;22/08/2011
432;1666;16;37,41;39,2805;03/08/2011;1;5;;CTN;03/08/2011
433;1492;17;41,33;43,3965;31/07/2011;1;5;;CTN;31/07/2011
433;1534;19;41,48;43,554;28/08/2011;1;5;;CTN;28/08/2011
433;1666;16;41,48;43,554;10/08/2011;1;5;;CTN;10/08/2011
434;1492;17;37,26;39,123;31/07/2011;1;5;;CTN;31/07/2011
434;1534;19;37,41;39,2805;28/08/2011;1;5;;CTN;28/08/2011
434;1666;16;37,41;39,2805;10/08/2011;1;5;;CTN;10/08/2011
435;1492;17;35,26;37,023;31/07/2011;1;5;;CTN;31/07/2011
435;1534;19;35,41;37,1805;28/08/2011;1;5;;CTN;28/08/2011
435;1666;16;35,41;37,1805;10/08/2011;1;5;;CTN;10/08/2011
436;1492;17;39,33;41,2965;31/07/2011;1;5;;CTN;31/07/2011
436;1534;19;39,48;41,454;28/08/2011;1;5;;CTN;28/08/2011
436;1666;16;39,48;41,454;10/08/2011;1;5;;CTN;10/08/2011
437;1492;17;35,26;37,023;06/08/2011;1;5;;CTN;06/08/2011
437;1534;19;35,41;37,1805;10/08/2011;1;5;;CTN;10/08/2011
437;1666;16;35,41;37,1805;17/08/2011;1;5;;CTN;17/08/2011
438;1540;17;39,26;41,223;25/08/2011;1;5;;CTN;25/08/2011
438;1656;16;45,41;47,6805;17/08/2011;1;5;;CTN;17/08/2011
439;1540;17;43,33;45,4965;25/08/2011;1;5;;CTN;25/08/2011
439;1656;16;43,41;45,5805;17/08/2011;1;5;;CTN;17/08/2011
440;1540;17;39,26;41,223;06/08/2011;1;5;;CTN;06/08/2011
440;1656;16;47,48;49,854;17/08/2011;1;5;;CTN;17/08/2011
441;1540;17;37,26;39,123;06/08/2011;1;5;;CTN;06/08/2011
441;1656;16;43,41;45,5805;17/08/2011;1;5;;CTN;17/08/2011
442;1540;17;41,33;43,3965;06/08/2011;1;5;;CTN;06/08/2011
442;1656;16;41,41;43,4805;22/08/2011;1;5;;CTN;22/08/2011
443;1540;17;37,26;39,123;06/08/2011;1;5;;CTN;06/08/2011
443;1656;16;45,48;47,754;22/08/2011;1;5;;CTN;22/08/2011
444;1540;17;35,26;37,023;12/08/2011;1;5;;CTN;12/08/2011
444;1656;16;41,41;43,4805;22/08/2011;1;5;;CTN;22/08/2011
445;1540;17;39,33;41,2965;12/08/2011;1;5;;CTN;12/08/2011
445;1656;16;39,41;41,3805;28/08/2011;1;5;;CTN;28/08/2011
446;1540;17;35,26;37,023;12/08/2011;1;5;;CTN;12/08/2011
446;1656;16;43,48;45,654;28/08/2011;1;5;;CTN;28/08/2011
447;1540;17;45,41;47,6805;12/08/2011;1;5;;CTN;12/08/2011
447;1656;16;39,41;41,3805;28/08/2011;1;5;;CTN;28/08/2011
448;1540;17;43,41;45,5805;19/08/2011;1;5;;CTN;19/08/2011
448;1656;16;37,41;39,2805;28/08/2011;1;5;;CTN;28/08/2011
449;1540;17;47,48;49,854;19/08/2011;1;5;;CTN;19/08/2011
449;1656;16;41,48;43,554;28/08/2011;1;5;;CTN;28/08/2011
450;1540;17;43,41;45,5805;19/08/2011;1;5;;CTN;19/08/2011
450;1656;16;37,41;39,2805;22/07/2011;1;5;;CTN;22/07/2011
451;1540;17;41,41;43,4805;19/08/2011;1;5;;CTN;19/08/2011
451;1656;16;35,41;37,1805;22/07/2011;1;5;;CTN;22/07/2011
452;1540;17;45,48;47,754;19/08/2011;1;5;;CTN;19/08/2011
452;1656;16;39,48;41,454;22/07/2011;1;5;;CTN;22/07/2011
453;1540;17;41,41;43,4805;19/08/2011;1;5;;CTN;19/08/2011
453;1656;16;35,41;37,1805;22/07/2011;1;5;;CTN;22/07/2011
454;1540;17;39,41;41,3805;19/08/2011;1;5;;CTN;19/08/2011
454;1656;16;45,26;47,523;22/07/2011;1;5;;CTN;22/07/2011
455;1540;17;43,48;45,654;19/08/2011;1;5;;CTN;19/08/2011
455;1656;16;43,26;45,423;22/07/2011;1;5;;CTN;22/07/2011
456;1540;17;39,41;41,3805;19/08/2011;1;5;;CTN;19/08/2011
456;1656;16;47,33;49,6965;22/07/2011;1;5;;CTN;22/07/2011
457;1540;17;37,41;39,2805;19/08/2011;1;5;;CTN;19/08/2011
457;1656;16;43,26;45,423;22/07/2011;1;5;;CTN;22/07/2011
458;1540;17;41,48;43,554;19/08/2011;1;5;;CTN;19/08/2011
458;1656;16;41,26;43,323;22/07/2011;1;5;;CTN;22/07/2011
459;1540;17;37,41;39,2805;19/08/2011;1;5;;CTN;19/08/2011
459;1656;16;45,33;47,5965;22/07/2011;1;5;;CTN;22/07/2011
460;1540;17;35,41;37,1805;19/08/2011;1;5;;CTN;19/08/2011
460;1656;16;41,26;43,323;22/07/2011;1;5;;CTN;22/07/2011
461;1540;17;39,48;41,454;19/08/2011;1;5;;DZ ;19/08/2011
462;1510;18;45,41;47,6805;27/08/2011;1;5;3;CS ;27/08/2011
463;1582;18;45,26;47,523;27/08/2011;1;5;;CAN;27/08/2011
464;1582;18;43,26;45,423;27/08/2011;1;5;;CAN;27/08/2011
465;1582;18;47,33;49,6965;27/08/2011;1;5;;CAN;27/08/2011
466;1582;18;43,26;45,423;27/08/2011;1;5;;CAN;27/08/2011
467;1582;18;41,26;43,323;08/08/2011;1;5;;CAN;08/08/2011
468;1582;18;45,33;47,5965;14/08/2011;1;5;;CAN;14/08/2011
469;1582;18;41,26;43,323;14/08/2011;1;5;;CAN;14/08/2011
470;1582;18;39,26;41,223;14/08/2011;1;5;;CAN;14/08/2011
471;1582;18;43,33;45,4965;14/08/2011;1;5;;CAN;14/08/2011
472;1582;18;39,26;41,223;14/08/2011;1;5;;CAN;14/08/2011
473;1582;18;37,26;39,123;21/08/2011;1;5;;CAN;21/08/2011
474;1582;18;41,33;43,3965;21/08/2011;1;5;;CAN;21/08/2011
475;1582;18;37,26;39,123;21/08/2011;1;5;;CAN;21/08/2011
476;1568;15;15,13;15,8865;20/08/2011;100;1000;300;EA ;20/08/2011
477;1568;15;11,11;11,6655;20/08/2011;100;1000;300;EA ;20/08/2011
478;1568;15;10,56;11,088;26/08/2011;100;1000;;EA ;26/08/2011
479;1568;15;15,13;15,8865;26/08/2011;100;1000;300;EA ;26/08/2011
480;1568;15;11,11;11,6655;26/08/2011;100;1000;;EA ;26/08/2011
481;1568;15;10,56;11,088;13/08/2011;100;1000;300;EA ;13/08/2011
482;1568;15;8,34;8,757;13/08/2011;100;1000;300;EA ;13/08/2011
483;1568;15;9,23;9,6915;13/08/2011;100;1000;;EA ;13/08/2011
484;1568;15;6,55;6,8775;13/08/2011;100;1000;300;EA ;13/08/2011
485;1568;15;7,43;7,8015;13/08/2011;100;1000;300;EA ;13/08/2011
486;1568;15;8,34;8,757;13/08/2011;100;1000;;EA ;13/08/2011
487;1568;15;5,53;5,8065;13/08/2011;100;1000;300;EA ;13/08/2011
488;1568;15;8,44;8,862;13/08/2011;100;1000;300;EA ;13/08/2011
489;1568;15;9,97;10,4685;13/08/2011;100;1000;;EA ;13/08/2011
490;1592;16;12,11;12,7155;27/08/2011;1;5;;CAN;27/08/2011
490;1662;16;11,77;12,3585;28/08/2011;1;5;;CAN;28/08/2011
491;1548;15;19,03;19,9815;26/08/2011;1;5;3;CAN;26/08/2011
491;1592;16;18,99;19,9395;27/08/2011;1;5;;CAN;27/08/2011
492;1584;16;48,33;50,7465;21/08/2011;20;100;;GAL;21/08/2011
492;1692;17;47,87;50,2635;19/08/2011;20;100;60;GAL;19/08/2011
493;1584;16;55,49;58,2645;21/08/2011;20;100;;GAL;21/08/2011
493;1692;17;54,43;57,1515;19/08/2011;20;100;;GAL;19/08/2011
494;1584;16;48,33;50,7465;27/08/2011;20;100;;GAL;27/08/2011
494;1692;17;50,67;53,2035;25/08/2011;20;100;60;GAL;25/08/2011
495;1584;16;59,93;62,9265;27/08/2011;20;100;;GAL;27/08/2011
495;1692;17;60,66;63,693;25/08/2011;20;100;;GAL;25/08/2011
496;1584;16;47,29;49,6545;27/08/2011;20;100;;GAL;27/08/2011
496;1692;17;46,58;48,909;25/08/2011;20;100;;GAL;25/08/2011
497;1566;17;32,56;34,188;25/08/2011;1;5;3;CS ;25/08/2011
504;1690;17;46,44;48,762;25/08/2011;1;5;3;CS ;25/08/2011
505;1612;16;42,11;44,2155;28/08/2011;1;5;3;CS ;28/08/2011
506;1504;15;8,76;9,198;26/08/2011;20;100;60;DZ ;26/08/2011
507;1530;15;22,28;23,394;26/08/2011;100;1000;;EA ;26/08/2011
507;1624;15;21,11;22,1655;26/08/2011;100;1000;;EA ;26/08/2011
508;1530;15;26,33;27,6465;26/08/2011;100;1000;;EA ;26/08/2011
508;1624;15;27,89;29,2845;26/08/2011;100;1000;;EA ;26/08/2011
509;1680;16;34,55;36,2775;27/08/2011;100;1000;;EA ;27/08/2011
510;1526;18;22,29;23,4045;27/08/2011;100;1000;;EA ;27/08/2011
510;1646;15;21,98;23,079;26/08/2011;100;1000;300;EA ;26/08/2011
511;1526;18;26,54;27,867;27/08/2011;100;1000;;EA ;27/08/2011
511;1646;15;27,88;29,274;26/08/2011;100;1000;300;EA ;26/08/2011
512;1646;15;33,31;34,9755;26/08/2011;100;1000;300;EA ;26/08/2011
512;1654;17;35,32;37,086;25/08/2011;100;1000;;EA ;25/08/2011
513;1664;17;25,33;26,5965;25/08/2011;100;1000;;EA ;25/08/2011
513;1682;19;37,33;39,1965;28/08/2011;100;1000;;EA ;28/08/2011
523;1560;17;10,22;10,731;25/08/2011;100;1000;300;EA ;25/08/2011
523;1620;16;9,89;10,3845;27/08/2011;100;1000;;EA ;27/08/2011
524;1560;17;13,45;14,1225;25/08/2011;100;1000;300;EA ;25/08/2011
524;1626;18;12,35;12,9675;27/08/2011;100;1000;;EA ;27/08/2011
525;1600;15;2,21;2,3205;26/08/2011;100;1000;;EA ;26/08/2011
526;1522;15;3,47;3,6435;26/08/2011;100;1000;;EA ;26/08/2011
527;1644;18;6,43;6,7515;27/08/2011;100;1000;;DZ ;27/08/2011
528;1618;16;36,34;38,157;28/08/2011;1;5;;CTN;28/08/2011
530;1494;17;15,32;16,086;29/08/2011;100;1000;;EA ;29/08/2011
535;1508;15;3,32;3,486;26/08/2011;100;1000;;EA ;26/08/2011
